class_A,class_B,class_C,class_D
3,1,3,1
55,37,17,16
21,0,2,3
37,10,5,8
6,2,1,2
83,43,9,26
62,11,9,11
82,3,18,22
31,4,3,11
3,2,0,0
4,0,1,0
4,2,3,2
1,0,1,1
63,7,13,22
25,6,6,4
42,0,5,9
23,1,3,5
2,2,0,0
20,2,2,12
51,11,39,12
7,1,3,2
23,4,5,2
35,10,9,14
1,0,0,0
45,10,8,9
23,1,7,9
206,41,82,97
5,0,0,0
134,17,45,27
7,2,7,7
58,16,32,13
33,1,3,4
30,1,10,5
83,15,20,21
18,4,6,3
8,0,4,2
41,9,21,8
24,10,6,13
22,2,4,7
28,3,6,6
9,0,4,3
1,0,1,2
8,1,0,5
52,17,25,31
24,7,10,8
26,2,3,2
27,2,13,4
16,4,2,5
38,5,18,6
135,23,48,29
7,0,2,1
30,3,9,7
4,2,0,2
21,4,12,4
6,2,2,2
8,0,1,4
7,1,5,1
24,5,7,8
3,0,0,0
86,16,24,20
52,7,21,10
19,9,13,14
34,8,6,12
53,15,17,6
9,1,2,5
42,5,19,11
0,0,3,0
2,0,3,1
9,1,3,2
13,1,1,1
11,0,3,2
52,7,16,19
6,2,5,6
13,2,3,5
7,0,4,1
71,13,16,14
88,21,28,49
206,47,67,60
8,5,6,7
44,9,13,15
3,2,0,3
13,3,10,7
4,0,2,3
15,2,8,1
59,12,47,11
6,2,1,3
35,5,5,15
176,62,135,106
2,1,2,1
118,22,35,33
4,0,1,6
35,9,13,4
57,13,18,13
6,3,2,1
34,12,15,14
20,3,4,3
95,15,22,14
32,4,10,8
24,7,20,12
45,13,14,8
15,3,1,1
43,8,13,15
167,12,25,25
10,0,0,0
3,0,0,0
28,9,9,4
13,10,6,13
47,16,16,16
11,9,4,3
3,0,1,1
234,55,87,59
4,0,0,1
2,2,7,2
188,53,81,29
73,16,23,42
7,2,1,0
87,18,35,23
130,24,27,30
22,2,1,0
0,0,1,0
14,3,6,8
12,3,10,3
34,6,10,9
51,13,23,13
18,2,7,7
169,83,72,56
84,14,22,21
22,11,7,10
191,62,43,80
7,1,4,7
19,1,1,5
96,28,30,13
0,0,1,0
31,7,7,8
11,4,6,5
11,0,4,6
41,25,36,18
126,32,40,24
160,54,25,44
10,1,1,3
18,1,8,3
13,1,7,5
61,23,33,18
45,5,15,11
23,4,9,9
7,4,2,3
123,43,55,68
186,20,87,82
191,40,93,70
9,4,5,8
203,31,32,29
91,20,30,23
3,0,2,0
12,7,4,4
28,9,2,7
5,2,4,2
43,10,12,31
251,21,65,84
2,1,0,1
4,10,2,3
2,0,0,0
61,15,12,27
62,11,19,15
3,0,5,1
232,35,50,85
9,1,1,3
10,3,0,0
3,1,0,4
3,0,2,0
35,5,15,13
8,1,5,3
10,1,2,1
7,0,1,0
42,8,7,11
203,37,45,44
66,13,18,18
149,57,58,37
6,1,5,3
59,10,15,7
